Game Title,User Rating,Age Group Targeted,Price,Platform,Requires Special Device,Developer,Publisher,Release Year,Genre,Multiplayer,Game Length (Hours),Graphics Quality,Soundtrack Quality,Story Quality,User Review Text,Game Mode,Min Number of Players
"Tomb Raider (2013),42.2,All Ages,49.34,Xbox,Yes,Innersloth,Take-Two Interactive,2012,RPG,Yes,59.8,Ultra,Poor,Excellent,""Solid game, but too many bugs."",Online,4"
"Hades,37.1,Teens,58.25,Xbox,No,Capcom,Electronic Arts,2023,Simulation,Yes,24.7,High,Poor,Excellent,""Amazing game, but too many bugs."",Offline,3"
"The Sims 4,33.3,All Ages,39.67,PlayStation,Yes,CD Projekt Red,Activision,2022,Party,No,40.6,Low,Good,Poor,""Great game, but the gameplay is amazing."",Offline,5"
"Rocket League,16.2,Kids,23.01,Nintendo Switch,Yes,Capcom,Activision,2019,Action,No,15.9,Medium,Poor,Excellent,""Solid game, but the gameplay is amazing."",Online,10"
"Hades,40.8,Teens,55.98,PC,No,Capcom,Epic Games,2019,Party,No,38.8,High,Average,Good,""Disappointing game, but too many bugs."",Offline,10"
"Call of Duty: Modern Warfare 2,22.0,Adults,34.26,Nintendo Switch,Yes,Innersloth,Nintendo,2021,Shooter,No,10.9,Low,Poor,Poor,""Disappointing game, but the graphics could be better."",Online,4"
"Grand Theft Auto V,20.3,All Ages,29.27,Nintendo Switch,No,Rockstar Games,Valve,2017,Strategy,Yes,24.6,Medium,Average,Excellent,""Amazing game, but too many bugs."",Online,4"
"Overwatch 2,30.5,Kids,37.54,Nintendo Switch,No,Game Freak,Valve,2018,Puzzle,No,41.0,High,Average,Excellent,""Great game, but too many bugs."",Offline,8"
"Minecraft,32.0,Kids,43.66,Nintendo Switch,No,Capcom,Electronic Arts,2016,Adventure,Yes,27.4,Ultra,Excellent,Excellent,""Great game, but the gameplay is amazing."",Offline,6"
"Counter-Strike: Global Offensive,41.2,All Ages,45.68,PlayStation,Yes,Game Freak,Square Enix,2013,Party,No,57.4,Ultra,Average,Poor,""Solid game, but the graphics could be better."",Offline,1"
"Mario Kart 8 Deluxe,31.3,Teens,29.1,Nintendo Switch,Yes,Valve,Capcom,2015,Party,Yes,51.4,Low,Excellent,Poor,""Amazing game, but the graphics could be better."",Online,3"
"Sid Meier�۪s Civilization VI,35.1,All Ages,34.61,Mobile,No,CD Projekt Red,Innersloth,2020,Puzzle,No,55.9,Medium,Excellent,Excellent,""Solid game, but the graphics could be better."",Offline,1"
"Call of Duty: Modern Warfare 2,34.2,All Ages,47.1,PlayStation,No,Rockstar Games,Valve,2013,RPG,Yes,29.3,Medium,Excellent,Average,""Amazing game, but the gameplay is amazing."",Online,5"
"Among Us,27.2,Kids,46.42,PlayStation,Yes,CD Projekt Red,Electronic Arts,2023,Adventure,Yes,15.0,Low,Poor,Good,""Great game, but the graphics could be better."",Online,8"
"Fortnite,34.7,Adults,39.72,PlayStation,No,Epic Games,Valve,2023,Action,Yes,52.1,High,Good,Good,""Great game, but the gameplay is amazing."",Offline,10"
"Spelunky 2,17.3,Teens,26.28,PlayStation,Yes,Rockstar Games,Square Enix,2019,Action,Yes,14.5,Ultra,Average,Good,""Disappointing game, but too many bugs."",Online,2"
"Mario Kart 8 Deluxe,28.1,Teens,56.02,Mobile,Yes,Nintendo,Innersloth,2010,Shooter,No,6.3,Medium,Poor,Poor,""Solid game, but too many bugs."",Offline,4"
"Pok̩mon Scarlet & Violet,30.6,All Ages,39.28,Mobile,Yes,Valve,Innersloth,2021,Sports,Yes,43.0,High,Excellent,Poor,""Great game, but the gameplay is amazing."",Online,3"
"Super Mario Odyssey,19.2,Kids,26.02,PlayStation,No,Capcom,Nintendo,2018,Adventure,Yes,26.8,High,Poor,Poor,""Solid game, but the gameplay is amazing."",Online,3"
"Bioshock Infinite,20.8,All Ages,24.62,PlayStation,No,Game Freak,Capcom,2017,Sports,Yes,22.7,Ultra,Average,Poor,""Solid game, but too many bugs."",Offline,2"
"Portal 2,24.4,Kids,36.08,Mobile,No,Valve,Electronic Arts,2015,Strategy,No,22.3,Ultra,Excellent,Excellent,""Solid game, but too many bugs."",Online,3"
"Tekken 7,24.6,Adults,44.65,PlayStation,No,Game Freak,Square Enix,2014,Party,No,11.1,High,Average,Average,""Disappointing game, but the gameplay is amazing."",Online,2"
"Tomb Raider (2013),37.9,Teens,49.25,PlayStation,No,Capcom,Square Enix,2010,Fighting,No,46.5,Low,Excellent,Good,""Disappointing game, but the gameplay is amazing."",Offline,2"
"Pillars of Eternity II: Deadfire,17.3,Adults,27.12,Nintendo Switch,No,Nintendo,Take-Two Interactive,2011,RPG,No,6.9,Low,Excellent,Poor,""Solid game, but the gameplay is amazing."",Offline,10"
"Just Dance 2024,18.0,All Ages,29.03,Mobile,No,Rockstar Games,Valve,2011,Shooter,Yes,7.1,Low,Excellent,Excellent,""Disappointing game, but the gameplay is amazing."",Online,6"
"Minecraft,22.6,All Ages,30.48,Xbox,No,Innersloth,Square Enix,2015,Strategy,No,27.0,Medium,Excellent,Average,""Amazing game, but the gameplay is amazing."",Offline,8"
"Stardew Valley,21.9,Teens,23.85,PlayStation,Yes,CD Projekt Red,Activision,2022,Action,No,31.0,High,Poor,Poor,""Disappointing game, but the graphics could be better."",Online,2"
"Pok̩mon Scarlet & Violet,26.8,Kids,47.47,PlayStation,Yes,EA Sports,Electronic Arts,2018,Shooter,No,7.3,Ultra,Good,Average,""Disappointing game, but too many bugs."",Offline,2"
"Among Us,21.3,Kids,28.57,PlayStation,Yes,Epic Games,Nintendo,2011,Strategy,Yes,21.3,Ultra,Average,Average,""Great game, but the graphics could be better."",Online,10"
"Tekken 7,30.1,Teens,50.09,PlayStation,Yes,Nintendo,Valve,2013,Party,No,19.1,Medium,Poor,Average,""Amazing game, but the graphics could be better."",Offline,2"
"Bioshock Infinite,43.9,All Ages,54.95,Mobile,No,Rockstar Games,Take-Two Interactive,2018,Simulation,Yes,48.3,High,Average,Poor,""Disappointing game, but the graphics could be better."",Online,1"
"Tekken 7,24.1,Kids,30.99,PC,No,Capcom,Epic Games,2022,Adventure,Yes,26.7,Ultra,Excellent,Excellent,""Amazing game, but the graphics could be better."",Online,2"
"The Sims 4,24.9,Kids,31.19,Nintendo Switch,No,Epic Games,Valve,2017,Puzzle,Yes,29.7,High,Excellent,Excellent,""Disappointing game, but too many bugs."",Offline,8"
"Halo Infinite,35.0,Kids,56.36,Nintendo Switch,Yes,Capcom,Valve,2011,Shooter,No,23.7,Medium,Excellent,Average,""Solid game, but too many bugs."",Online,3"
"Grand Theft Auto V,38.5,Teens,48.99,Xbox,Yes,Epic Games,Capcom,2011,Adventure,Yes,45.4,Medium,Poor,Good,""Solid game, but the gameplay is amazing."",Online,5"
"Kingdom Hearts III,38.8,All Ages,42.02,PC,Yes,Innersloth,Activision,2011,Simulation,No,59.0,High,Average,Average,""Disappointing game, but the graphics could be better."",Online,2"
"The Legend of Zelda: Breath of the Wild,26.2,Adults,41.58,Nintendo Switch,No,Bungie,Electronic Arts,2014,Puzzle,Yes,24.6,High,Good,Good,""Great game, but the graphics could be better."",Online,8"
"The Elder Scrolls V: Skyrim,26.6,Teens,37.7,Nintendo Switch,Yes,Capcom,Innersloth,2022,Puzzle,Yes,29.0,Low,Excellent,Poor,""Amazing game, but the graphics could be better."",Online,3"
"Tetris,20.5,Teens,24.56,Mobile,Yes,Nintendo,Innersloth,2013,Puzzle,Yes,23.1,High,Good,Poor,""Great game, but the graphics could be better."",Online,7"
"Call of Duty: Modern Warfare 2,25.8,All Ages,20.43,Xbox,No,EA Sports,Square Enix,2012,Sports,No,46.4,Medium,Average,Excellent,""Amazing game, but the gameplay is amazing."",Offline,4"
"Overwatch 2,17.7,Kids,26.81,Xbox,No,Game Freak,Valve,2011,Puzzle,Yes,8.8,Medium,Poor,Poor,""Amazing game, but the graphics could be better."",Offline,2"
"Fall Guys,36.5,All Ages,59.41,PlayStation,No,Bungie,Innersloth,2014,Shooter,No,23.4,High,Poor,Poor,""Solid game, but the gameplay is amazing."",Online,1"
"Halo Infinite,40.1,All Ages,59.69,PC,Yes,Innersloth,Capcom,2022,Action,No,32.2,Low,Poor,Good,""Solid game, but the gameplay is amazing."",Offline,10"
"Stardew Valley,25.4,All Ages,32.73,Nintendo Switch,No,EA Sports,Valve,2021,Action,No,29.2,High,Average,Excellent,""Solid game, but too many bugs."",Online,6"
"Grand Theft Auto V,31.0,All Ages,23.4,PlayStation,No,EA Sports,Nintendo,2023,Adventure,No,58.2,Medium,Average,Good,""Disappointing game, but the gameplay is amazing."",Offline,7"
"Street Fighter V,34.4,All Ages,43.07,Mobile,Yes,Capcom,Capcom,2015,Strategy,No,46.3,Medium,Average,Good,""Great game, but too many bugs."",Offline,1"
"The Sims 4,26.7,Teens,40.98,PC,Yes,CD Projekt Red,Innersloth,2018,Puzzle,No,15.3,Low,Poor,Excellent,""Amazing game, but the gameplay is amazing."",Offline,2"
"Ghost of Tsushima,31.8,All Ages,55.92,Nintendo Switch,No,CD Projekt Red,Nintendo,2017,Shooter,No,15.6,High,Poor,Poor,""Great game, but too many bugs."",Offline,5"
"Street Fighter V,42.4,All Ages,52.19,Nintendo Switch,No,EA Sports,Capcom,2015,Strategy,Yes,56.4,High,Excellent,Poor,""Amazing game, but too many bugs."",Online,1"
"Kingdom Hearts III,33.3,All Ages,39.99,Nintendo Switch,No,Rockstar Games,Valve,2023,Action,No,42.5,Low,Good,Poor,""Great game, but the gameplay is amazing."",Online,10"
"Hitman 3,24.0,Teens,40.52,Nintendo Switch,No,Game Freak,Activision,2023,Shooter,Yes,7.3,Ultra,Good,Average,""Solid game, but the graphics could be better."",Online,7"
"Overwatch 2,28.3,Adults,27.6,PlayStation,Yes,EA Sports,Activision,2014,Fighting,Yes,52.2,Ultra,Poor,Poor,""Great game, but too many bugs."",Online,8"
"Tekken 7,16.0,Teens,22.74,Xbox,Yes,Bungie,Valve,2013,RPG,No,14.6,High,Average,Average,""Disappointing game, but the gameplay is amazing."",Offline,10"
"FIFA 24,35.4,All Ages,42.69,Mobile,No,Epic Games,Electronic Arts,2018,Adventure,No,46.0,High,Poor,Average,""Amazing game, but too many bugs."",Online,1"
"Tetris,32.1,Teens,57.58,PlayStation,No,Innersloth,Take-Two Interactive,2011,Party,Yes,5.4,Low,Excellent,Average,""Disappointing game, but the graphics could be better."",Offline,7"
"Kingdom Hearts III,30.1,Teens,43.12,Mobile,Yes,Valve,Take-Two Interactive,2015,Shooter,Yes,28.2,High,Excellent,Average,""Amazing game, but the gameplay is amazing."",Online,4"
"The Legend of Zelda: Breath of the Wild,28.3,Adults,49.77,PlayStation,Yes,Capcom,Epic Games,2019,Simulation,No,17.3,Medium,Excellent,Excellent,""Disappointing game, but too many bugs."",Online,3"
"Cuphead,39.0,All Ages,52.31,PC,Yes,Rockstar Games,Capcom,2022,RPG,Yes,37.5,High,Excellent,Poor,""Great game, but too many bugs."",Offline,1"
"Fall Guys,19.5,All Ages,35.77,Nintendo Switch,No,CD Projekt Red,Square Enix,2015,Adventure,No,11.1,Ultra,Average,Average,""Disappointing game, but the gameplay is amazing."",Online,10"
"Spelunky 2,17.5,Adults,20.63,Mobile,Yes,Capcom,Valve,2010,Simulation,Yes,25.5,Medium,Good,Good,""Amazing game, but the gameplay is amazing."",Offline,3"
"Animal Crossing: New Horizons,32.5,All Ages,39.26,PlayStation,Yes,Nintendo,Activision,2022,Party,Yes,44.3,High,Poor,Average,""Solid game, but the graphics could be better."",Online,4"
"Tetris,35.4,Kids,49.62,Nintendo Switch,Yes,Nintendo,Innersloth,2020,Adventure,Yes,38.3,Medium,Good,Poor,""Amazing game, but the gameplay is amazing."",Offline,2"
"Tekken 7,38.0,All Ages,57.1,PlayStation,No,CD Projekt Red,Valve,2017,Adventure,Yes,34.6,Low,Poor,Average,""Solid game, but the gameplay is amazing."",Offline,5"
"League of Legends,30.1,Adults,49.77,Xbox,No,Innersloth,Capcom,2010,Simulation,Yes,12.3,Medium,Poor,Excellent,""Amazing game, but the gameplay is amazing."",Offline,1"
"League of Legends,40.6,Kids,49.93,PC,No,EA Sports,Nintendo,2012,Puzzle,No,54.5,Medium,Average,Poor,""Disappointing game, but too many bugs."",Online,8"
"Fortnite,30.5,All Ages,48.25,PC,Yes,Valve,Take-Two Interactive,2010,Fighting,No,23.5,Medium,Good,Good,""Disappointing game, but the gameplay is amazing."",Offline,4"
"Spelunky 2,38.9,Kids,51.05,Mobile,Yes,EA Sports,Electronic Arts,2015,Adventure,Yes,44.2,Low,Excellent,Excellent,""Amazing game, but the gameplay is amazing."",Online,7"
"Sid Meier�۪s Civilization VI,33.1,Kids,52.55,PC,Yes,Nintendo,Nintendo,2011,Action,No,26.9,Medium,Excellent,Excellent,""Amazing game, but the graphics could be better."",Offline,8"
"League of Legends,25.6,Adults,29.78,Xbox,No,Epic Games,Activision,2015,Action,Yes,38.2,Medium,Average,Excellent,""Amazing game, but the gameplay is amazing."",Offline,8"
"Street Fighter V,21.3,Teens,26.85,Nintendo Switch,No,EA Sports,Epic Games,2021,RPG,Yes,21.5,High,Excellent,Excellent,""Disappointing game, but the graphics could be better."",Offline,2"
"Street Fighter V,44.7,Adults,56.88,PlayStation,Yes,EA Sports,Take-Two Interactive,2020,Adventure,No,59.6,Ultra,Average,Excellent,""Amazing game, but the gameplay is amazing."",Offline,5"
"Fall Guys,27.4,Kids,30.36,Xbox,No,Innersloth,Square Enix,2016,Shooter,No,36.9,High,Good,Good,""Solid game, but too many bugs."",Offline,2"
"Call of Duty: Modern Warfare 2,46.5,Teens,57.98,Mobile,No,Nintendo,Nintendo,2018,Sports,Yes,54.7,Medium,Poor,Good,""Disappointing game, but the gameplay is amazing."",Offline,8"
"Sid Meier�۪s Civilization VI,22.6,Kids,34.6,Mobile,No,Rockstar Games,Nintendo,2014,Action,Yes,15.4,High,Excellent,Excellent,""Disappointing game, but the gameplay is amazing."",Offline,4"
"Ghost of Tsushima,33.2,Kids,42.98,PC,Yes,EA Sports,Epic Games,2016,Puzzle,Yes,45.5,Medium,Poor,Good,""Amazing game, but too many bugs."",Offline,6"
"Minecraft,19.2,Teens,34.58,Nintendo Switch,No,Game Freak,Innersloth,2018,Puzzle,No,9.4,High,Average,Excellent,""Great game, but the gameplay is amazing."",Offline,7"
"League of Legends,24.0,All Ages,36.31,Xbox,No,Game Freak,Epic Games,2013,Sports,No,22.5,High,Poor,Good,""Disappointing game, but too many bugs."",Online,6"
"The Witcher 3: Wild Hunt,28.2,Adults,29.54,Xbox,No,Epic Games,Electronic Arts,2015,Sports,No,44.2,Low,Poor,Good,""Solid game, but the gameplay is amazing."",Offline,6"
"Tomb Raider (2013),27.0,Teens,24.16,PlayStation,No,Bungie,Activision,2013,Strategy,Yes,50.2,High,Good,Good,""Disappointing game, but too many bugs."",Offline,3"
"League of Legends,25.5,Adults,22.13,PC,Yes,Valve,Square Enix,2010,Strategy,Yes,46.8,Medium,Excellent,Average,""Great game, but the graphics could be better."",Online,8"
"The Legend of Zelda: Breath of the Wild,38.0,Adults,55.28,Mobile,No,Bungie,Electronic Arts,2015,Shooter,Yes,34.4,Low,Excellent,Good,""Amazing game, but the gameplay is amazing."",Online,8"
"The Witcher 3: Wild Hunt,21.5,Kids,31.3,Nintendo Switch,Yes,Innersloth,Electronic Arts,2021,Fighting,Yes,14.4,High,Good,Excellent,""Amazing game, but the graphics could be better."",Online,10"
"Hades,29.7,Teens,44.83,Xbox,No,EA Sports,Epic Games,2019,Adventure,No,17.6,Ultra,Excellent,Good,""Great game, but too many bugs."",Online,2"
"Portal 2,23.2,Adults,38.66,Nintendo Switch,No,Game Freak,Valve,2022,RPG,No,19.3,Medium,Good,Poor,""Disappointing game, but the graphics could be better."",Online,8"
"Animal Crossing: New Horizons,24.1,Teens,38.48,Mobile,Yes,EA Sports,Activision,2021,Party,Yes,18.4,Medium,Excellent,Good,""Amazing game, but too many bugs."",Offline,7"
"Super Smash Bros. Ultimate,28.4,Adults,52.21,PlayStation,Yes,Game Freak,Epic Games,2018,Strategy,No,8.7,High,Average,Good,""Amazing game, but the gameplay is amazing."",Online,5"
"FIFA 24,27.2,Teens,32.42,Nintendo Switch,Yes,EA Sports,Epic Games,2014,RPG,No,42.6,Medium,Average,Excellent,""Solid game, but too many bugs."",Online,3"
"Call of Duty: Modern Warfare 2,25.5,Teens,20.9,PlayStation,Yes,Bungie,Nintendo,2016,Simulation,No,49.6,Ultra,Poor,Poor,""Amazing game, but the gameplay is amazing."",Offline,10"
"Animal Crossing: New Horizons,32.1,Teens,58.01,PlayStation,Yes,CD Projekt Red,Take-Two Interactive,2015,Sports,No,9.1,Low,Average,Good,""Amazing game, but the graphics could be better."",Online,6"
"1000-Piece Puzzle,32.9,Kids,35.45,PlayStation,Yes,Bungie,Square Enix,2015,Party,Yes,52.1,Medium,Good,Poor,""Great game, but the gameplay is amazing."",Online,7"
"Kingdom Hearts III,30.1,Teens,42.69,Xbox,No,Innersloth,Capcom,2020,Party,Yes,23.9,Low,Good,Average,""Amazing game, but the graphics could be better."",Offline,10"
"The Sims 4,15.6,Kids,30.07,PlayStation,No,Nintendo,Take-Two Interactive,2023,Simulation,Yes,5.1,High,Good,Good,""Amazing game, but the graphics could be better."",Online,1"
"League of Legends,33.8,All Ages,36.61,Nintendo Switch,No,Nintendo,Square Enix,2018,Adventure,No,56.1,Medium,Poor,Poor,""Disappointing game, but too many bugs."",Online,4"
"Among Us,28.7,Teens,43.71,Nintendo Switch,No,Rockstar Games,Electronic Arts,2023,RPG,Yes,21.2,Ultra,Poor,Average,""Amazing game, but too many bugs."",Offline,5"
"Fall Guys,26.4,Kids,37.54,PlayStation,No,Capcom,Innersloth,2013,Shooter,Yes,30.7,Low,Good,Good,""Great game, but too many bugs."",Offline,7"
"Just Dance 2024,15.1,Adults,28.25,PlayStation,No,Rockstar Games,Epic Games,2016,RPG,Yes,8.3,Low,Good,Average,""Great game, but too many bugs."",Offline,4"
"Cuphead,24.8,Kids,38.52,Nintendo Switch,No,EA Sports,Epic Games,2014,Fighting,Yes,19.9,Low,Average,Good,""Solid game, but too many bugs."",Online,3"
"Half-Life: Alyx,29.3,Adults,44.94,PlayStation,No,Rockstar Games,Activision,2017,Shooter,Yes,16.0,Ultra,Excellent,Good,""Great game, but the graphics could be better."",Offline,8"
"Tekken 7,26.0,Kids,41.34,PlayStation,No,Capcom,Take-Two Interactive,2023,Party,Yes,21.6,High,Poor,Excellent,""Disappointing game, but too many bugs."",Offline,6"
"Pillars of Eternity II: Deadfire,40.9,Adults,45.27,PlayStation,No,Valve,Innersloth,2019,Adventure,Yes,58.9,High,Poor,Poor,""Solid game, but too many bugs."",Offline,4"
"Halo Infinite,34.6,Kids,44.87,PlayStation,Yes,EA Sports,Activision,2015,Adventure,Yes,43.3,Ultra,Poor,Average,""Amazing game, but the gameplay is amazing."",Online,1"
"Super Mario Odyssey,31.8,Adults,49.68,Xbox,Yes,CD Projekt Red,Nintendo,2013,Strategy,No,25.7,Low,Good,Excellent,""Great game, but the graphics could be better."",Offline,4"
"Halo Infinite,44.3,Adults,56.35,PlayStation,Yes,Bungie,Capcom,2015,Puzzle,No,51.3,Low,Excellent,Average,""Solid game, but too many bugs."",Online,4"
"Half-Life: Alyx,36.0,All Ages,43.39,Nintendo Switch,No,Valve,Take-Two Interactive,2012,Action,Yes,50.6,High,Good,Average,""Disappointing game, but the gameplay is amazing."",Online,4"
"Grand Theft Auto V,21.5,All Ages,27.63,Mobile,Yes,Innersloth,Square Enix,2021,Strategy,No,32.0,Medium,Good,Average,""Solid game, but too many bugs."",Online,7"
"Super Smash Bros. Ultimate,24.5,All Ages,37.21,Xbox,No,Innersloth,Valve,2021,Action,No,18.8,Ultra,Good,Average,""Disappointing game, but the gameplay is amazing."",Online,5"
"Pok̩mon Scarlet & Violet,33.6,Teens,33.93,Xbox,Yes,Rockstar Games,Capcom,2015,Party,No,58.1,Medium,Excellent,Average,""Solid game, but too many bugs."",Offline,4"
"Portal 2,24.1,Adults,44.77,Mobile,Yes,Valve,Innersloth,2020,Strategy,No,11.3,Medium,Poor,Poor,""Amazing game, but the gameplay is amazing."",Offline,5"
"Among Us,34.7,Teens,36.52,PlayStation,Yes,Capcom,Square Enix,2013,Party,Yes,55.0,Medium,Excellent,Good,""Great game, but too many bugs."",Offline,2"
"Bioshock Infinite,29.2,All Ages,35.65,Xbox,No,EA Sports,Nintendo,2015,Fighting,No,32.5,Low,Average,Good,""Solid game, but too many bugs."",Online,3"
"Counter-Strike: Global Offensive,20.0,All Ages,30.01,PlayStation,Yes,Nintendo,Nintendo,2023,Puzzle,Yes,18.9,Ultra,Good,Good,""Great game, but the graphics could be better."",Online,8"
"Tekken 7,38.1,All Ages,46.21,Xbox,Yes,Valve,Epic Games,2012,Sports,Yes,50.3,Medium,Poor,Excellent,""Disappointing game, but too many bugs."",Offline,4"
"Stardew Valley,19.2,Teens,23.77,Xbox,Yes,Valve,Activision,2013,Fighting,Yes,28.1,Medium,Excellent,Good,""Great game, but the graphics could be better."",Online,3"
"Kingdom Hearts III,21.4,Adults,24.56,PC,Yes,Rockstar Games,Capcom,2020,Sports,Yes,25.1,Ultra,Poor,Good,""Solid game, but the gameplay is amazing."",Offline,10"
"Just Dance 2024,17.1,Teens,31.21,Mobile,Yes,CD Projekt Red,Capcom,2019,RPG,No,10.5,Ultra,Excellent,Excellent,""Solid game, but the graphics could be better."",Online,5"
"Grand Theft Auto V,39.7,Adults,45.51,PlayStation,Yes,Bungie,Nintendo,2017,RPG,Yes,59.9,Medium,Poor,Poor,""Great game, but the graphics could be better."",Offline,10"
"The Sims 4,28.6,Teens,20.57,Xbox,Yes,CD Projekt Red,Activision,2023,Fighting,No,54.7,High,Average,Poor,""Disappointing game, but too many bugs."",Offline,2"
"Sid Meier�۪s Civilization VI,28.9,Adults,21.74,PlayStation,No,CD Projekt Red,Epic Games,2010,RPG,Yes,59.6,Ultra,Average,Good,""Disappointing game, but the gameplay is amazing."",Offline,8"
"Counter-Strike: Global Offensive,15.1,All Ages,25.69,PC,Yes,CD Projekt Red,Valve,2019,Sports,Yes,8.9,Medium,Excellent,Average,""Solid game, but the gameplay is amazing."",Offline,2"
"Grand Theft Auto V,27.6,Teens,28.48,PC,No,Epic Games,Electronic Arts,2019,Action,Yes,40.1,Low,Average,Average,""Disappointing game, but the graphics could be better."",Offline,7"
"Animal Crossing: New Horizons,41.8,Teens,56.69,PlayStation,Yes,Innersloth,Epic Games,2023,Adventure,No,41.2,Low,Good,Poor,""Disappointing game, but the gameplay is amazing."",Offline,4"
"Tekken 7,36.4,Teens,44.33,PlayStation,No,EA Sports,Take-Two Interactive,2013,Puzzle,Yes,47.1,Medium,Poor,Poor,""Amazing game, but the gameplay is amazing."",Online,2"
"1000-Piece Puzzle,24.0,Kids,44.58,Mobile,Yes,EA Sports,Electronic Arts,2013,RPG,No,10.0,Ultra,Good,Poor,""Solid game, but too many bugs."",Offline,7"
"Pillars of Eternity II: Deadfire,32.6,Teens,58.74,Xbox,No,Valve,Nintendo,2011,Party,Yes,13.7,Low,Good,Excellent,""Solid game, but the graphics could be better."",Offline,1"
"Animal Crossing: New Horizons,26.1,All Ages,51.96,Xbox,Yes,Rockstar Games,Electronic Arts,2020,Party,No,6.1,Low,Excellent,Good,""Solid game, but too many bugs."",Online,5"
"Sid Meier�۪s Civilization VI,15.4,All Ages,28.66,PC,Yes,CD Projekt Red,Innersloth,2020,Simulation,No,6.3,High,Average,Excellent,""Solid game, but the gameplay is amazing."",Online,5"
"Half-Life: Alyx,36.7,Kids,57.05,Mobile,No,Game Freak,Activision,2014,Shooter,Yes,25.5,High,Poor,Good,""Great game, but the gameplay is amazing."",Online,1"
"Ghost of Tsushima,30.1,Kids,25.75,PC,No,Epic Games,Nintendo,2023,RPG,Yes,55.4,Ultra,Good,Poor,""Solid game, but the graphics could be better."",Offline,3"
"Call of Duty: Modern Warfare 2,18.8,Adults,33.58,Mobile,Yes,Epic Games,Electronic Arts,2022,Adventure,Yes,8.7,High,Excellent,Good,""Great game, but the gameplay is amazing."",Offline,10"
"Animal Crossing: New Horizons,30.3,Adults,53.37,Mobile,Yes,Valve,Square Enix,2021,Action,Yes,15.9,High,Average,Good,""Solid game, but too many bugs."",Online,6"
"Minecraft,39.6,Adults,56.94,Nintendo Switch,Yes,Rockstar Games,Epic Games,2014,Sports,Yes,33.6,High,Good,Average,""Solid game, but too many bugs."",Online,2"
"Minecraft,21.5,Kids,25.4,Mobile,No,Game Freak,Innersloth,2010,Action,No,30.1,Low,Good,Good,""Solid game, but the gameplay is amazing."",Online,4"
"Red Dead Redemption 2,29.7,Teens,25.75,PlayStation,No,Innersloth,Valve,2011,Sports,No,53.9,Ultra,Excellent,Poor,""Disappointing game, but too many bugs."",Online,2"
"FIFA 24,30.6,Adults,46.44,PC,Yes,Rockstar Games,Capcom,2022,Shooter,Yes,31.2,High,Good,Poor,""Disappointing game, but the graphics could be better."",Online,6"
"Cuphead,26.6,Kids,50.35,Nintendo Switch,Yes,Innersloth,Take-Two Interactive,2019,Sports,No,8.6,High,Average,Poor,""Amazing game, but too many bugs."",Online,10"
"Counter-Strike: Global Offensive,26.6,All Ages,46.85,Mobile,No,Innersloth,Nintendo,2017,RPG,No,13.1,Ultra,Excellent,Poor,""Solid game, but the graphics could be better."",Offline,4"
"The Sims 4,25.3,Kids,37.57,PC,No,CD Projekt Red,Activision,2019,Shooter,Yes,15.6,High,Good,Average,""Disappointing game, but the gameplay is amazing."",Online,6"
"The Elder Scrolls V: Skyrim,41.9,Kids,58.56,PlayStation,Yes,Capcom,Epic Games,2017,Party,No,42.0,High,Good,Poor,""Solid game, but the graphics could be better."",Online,4"
"1000-Piece Puzzle,33.0,Kids,44.54,Xbox,No,Nintendo,Innersloth,2016,Shooter,Yes,41.6,Low,Average,Poor,""Great game, but the graphics could be better."",Offline,5"
"Grand Theft Auto V,23.0,Teens,22.33,Xbox,No,Rockstar Games,Activision,2016,Action,Yes,34.4,Medium,Excellent,Excellent,""Disappointing game, but the graphics could be better."",Offline,7"
"Super Smash Bros. Ultimate,46.4,Kids,59.57,Mobile,No,Nintendo,Innersloth,2010,Sports,No,52.8,Medium,Good,Excellent,""Solid game, but the gameplay is amazing."",Online,8"
"Minecraft,27.5,Adults,41.92,Nintendo Switch,Yes,Bungie,Electronic Arts,2011,Strategy,No,15.6,High,Good,Poor,""Great game, but the graphics could be better."",Online,6"
"Hades,24.3,Adults,30.96,PC,Yes,Capcom,Epic Games,2015,Simulation,Yes,29.1,Medium,Poor,Good,""Solid game, but too many bugs."",Offline,2"
"Super Smash Bros. Ultimate,31.3,Kids,53.57,Mobile,No,Epic Games,Nintendo,2011,Shooter,Yes,11.4,High,Average,Poor,""Amazing game, but too many bugs."",Online,6"
"The Sims 4,27.2,All Ages,43.83,Nintendo Switch,No,CD Projekt Red,Capcom,2019,Simulation,Yes,13.6,High,Poor,Poor,""Great game, but too many bugs."",Offline,2"
"Ghost of Tsushima,38.3,Adults,51.98,PlayStation,No,Capcom,Activision,2017,Shooter,No,38.0,Low,Good,Poor,""Disappointing game, but too many bugs."",Online,1"
"Pillars of Eternity II: Deadfire,20.0,Teens,34.29,Xbox,Yes,CD Projekt Red,Innersloth,2011,Puzzle,No,6.5,Medium,Excellent,Good,""Amazing game, but the graphics could be better."",Offline,3"
"Mario Kart 8 Deluxe,35.4,Adults,38.4,Xbox,Yes,EA Sports,Take-Two Interactive,2021,Puzzle,No,53.2,Medium,Poor,Poor,""Great game, but too many bugs."",Online,6"
"Hitman 3,40.1,All Ages,57.03,PC,Yes,EA Sports,Electronic Arts,2013,Strategy,No,44.0,Ultra,Good,Excellent,""Great game, but the graphics could be better."",Offline,1"
